ChronicFactKey,LocationKey,YearKey,IndicatorKey,StratificationKey,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit
1,20,4,37,12,78.8000,78.8000,75.1000,82.1000
2,11,4,37,12,86.2000,86.2000,81.9000,89.6000
3,18,4,37,12,91.4000,91.4000,88.8000,93.4000
4,36,4,132,1,19.6000,19.6000,6.0000,48.4000
5,47,4,52,1,45.1000,45.1000,23.5000,68.7000
6,9,4,132,1,13.6000,13.6000,6.1000,27.3000
7,6,4,52,1,31.2000,31.2000,12.5000,58.9000
8,9,4,101,1,23.4000,23.4000,15.3000,34.0000
9,31,4,37,1,68.2000,68.2000,45.9000,84.4000
10,27,4,37,1,66.9000,66.9000,48.5000,81.2000
11,13,4,52,1,34.7000,34.7000,18.6000,55.2000
12,1,4,101,1,46.0000,46.0000,32.3000,60.4000
13,53,4,52,1,48.2000,48.2000,28.3000,68.7000
14,34,4,52,1,37.4000,37.4000,30.0000,45.5000
15,29,4,132,1,37.9000,37.9000,16.4000,65.6000
16,51,4,37,1,67.8000,67.8000,50.0000,81.6000
17,42,4,52,1,36.5000,36.5000,19.3000,57.9000
18,36,4,101,1,36.5000,36.5000,24.3000,50.8000
19,30,4,52,1,37.8000,37.8000,21.7000,57.0000
20,49,4,37,1,89.0000,89.0000,76.6000,95.2000
21,41,4,52,1,46.8000,46.8000,23.3000,71.8000
22,42,4,37,1,77.9000,77.9000,56.7000,90.5000
23,32,4,132,1,1.6000,1.6000,.2000,10.7000
24,49,4,52,1,42.8000,42.8000,21.0000,67.7000
25,29,4,52,1,31.9000,31.9000,16.8000,52.0000
26,28,4,52,1,28.4000,28.4000,17.3000,43.0000
27,48,4,37,1,53.5000,53.5000,31.3000,74.4000
28,9,4,52,1,27.3000,27.3000,17.1000,40.5000
29,53,4,101,1,39.1000,39.1000,23.3000,57.5000
30,4,4,52,1,33.1000,33.1000,19.0000,50.9000
31,50,4,132,1,22.9000,22.9000,12.8000,37.6000
32,52,4,101,1,45.1000,45.1000,30.9000,60.2000
33,50,4,52,1,33.6000,33.6000,24.8000,43.7000
34,11,4,52,1,44.0000,44.0000,28.8000,60.5000
35,46,4,52,1,44.7000,44.7000,25.9000,65.1000
36,31,4,52,1,48.3000,48.3000,26.9000,70.3000
37,30,4,37,1,64.0000,64.0000,45.4000,79.2000
38,53,4,37,1,80.3000,80.3000,63.9000,90.4000
39,45,4,101,1,40.9000,40.9000,24.1000,60.1000
40,12,4,132,1,17.1000,17.1000,13.5000,21.3000
41,36,4,37,1,76.1000,76.1000,61.0000,86.7000
42,52,4,52,1,34.0000,34.0000,20.3000,51.0000
43,41,4,101,1,32.1000,32.1000,16.9000,52.4000
44,12,4,101,1,35.8000,35.8000,32.6000,39.1000
45,40,4,101,1,34.6000,34.6000,26.9000,43.1000
46,29,4,101,1,41.1000,41.1000,24.0000,60.5000
47,40,4,52,1,26.7000,26.7000,19.2000,36.0000
48,43,4,37,1,79.1000,79.1000,58.6000,91.0000
49,47,4,37,1,71.9000,71.9000,47.1000,88.1000
50,12,4,52,1,31.3000,31.3000,27.9000,34.9000
51,36,4,52,1,34.5000,34.5000,20.9000,51.2000
52,3,4,101,1,35.5000,35.5000,19.8000,55.2000
53,26,4,52,3,27.0000,27.0000,20.9000,34.1000
54,54,4,52,3,40.7000,40.7000,33.6000,48.2000
55,17,4,52,3,27.1000,27.1000,21.5000,33.5000
56,13,4,52,3,28.7000,28.7000,22.5000,35.8000
57,34,4,52,3,30.5000,30.5000,23.9000,38.0000
58,53,4,52,3,36.0000,36.0000,29.1000,43.5000
59,38,4,52,3,38.3000,38.3000,31.0000,46.2000
60,44,4,52,3,40.9000,40.9000,33.6000,48.6000
61,6,4,52,3,39.0000,39.0000,32.0000,46.4000
62,1,4,52,3,37.4000,37.4000,30.6000,44.7000
63,6,4,37,1,64.3000,64.3000,36.4000,85.0000
64,38,4,101,1,42.0000,42.0000,29.8000,55.2000
65,51,4,52,1,35.6000,35.6000,20.2000,54.7000
66,41,4,37,1,66.0000,66.0000,42.6000,83.6000
67,47,4,101,1,36.3000,36.3000,19.1000,58.1000
68,20,4,101,1,25.3000,25.3000,11.5000,46.8000
69,42,4,101,1,41.8000,41.8000,23.9000,62.2000
70,1,4,132,1,31.1000,31.1000,14.5000,54.6000
71,40,4,37,1,84.7000,84.7000,77.2000,90.1000
72,18,4,52,1,31.2000,31.2000,21.2000,43.3000
73,50,4,101,1,36.6000,36.6000,28.1000,46.0000
74,9,4,37,1,72.5000,72.5000,59.8000,82.3000
75,39,4,52,1,30.1000,30.1000,16.6000,48.2000
76,38,4,132,1,19.3000,19.3000,9.4000,35.6000
77,6,4,101,1,23.9000,23.9000,11.2000,44.0000
78,4,4,101,1,40.9000,40.9000,28.2000,55.0000
79,32,4,101,1,24.6000,24.6000,16.3000,35.4000
80,28,4,101,1,30.1000,30.1000,19.2000,43.7000
81,43,4,52,1,44.7000,44.7000,21.3000,70.7000
82,45,4,37,1,92.2000,92.2000,81.2000,97.0000
83,32,4,37,1,63.3000,63.3000,47.7000,76.5000
84,11,4,37,1,58.0000,58.0000,43.1000,71.6000
85,39,4,101,1,46.4000,46.4000,29.4000,64.4000
86,32,4,52,1,35.4000,35.4000,21.9000,51.6000
87,3,4,37,1,67.3000,67.3000,44.6000,84.0000
88,51,4,101,1,33.3000,33.3000,20.6000,49.0000
89,12,4,37,1,77.9000,77.9000,74.8000,80.8000
90,52,4,37,1,78.4000,78.4000,63.2000,88.5000
91,4,4,132,1,6.1000,6.1000,1.7000,19.4000
92,29,4,37,1,85.3000,85.3000,69.8000,93.6000
93,38,4,37,1,79.0000,79.0000,65.9000,88.0000
94,27,4,52,1,31.3000,31.3000,16.8000,50.7000
95,4,4,37,1,87.5000,87.5000,76.1000,93.9000
96,46,4,132,1,26.1000,26.1000,9.2000,55.2000
97,43,4,101,1,58.0000,58.0000,35.9000,77.3000
98,48,4,52,1,27.2000,27.2000,12.5000,49.3000
99,28,4,132,1,7.2000,7.2000,2.2000,21.6000
100,38,4,52,1,42.4000,42.4000,28.8000,57.3000
101,1,4,52,1,23.9000,23.9000,13.4000,38.9000
102,48,4,101,1,24.9000,24.9000,13.3000,41.7000
103,18,4,132,1,14.0000,14.0000,5.5000,31.5000
104,46,4,101,1,26.7000,26.7000,15.7000,41.5000
105,18,4,101,1,51.0000,51.0000,39.8000,62.1000
106,34,4,132,1,9.6000,9.6000,5.4000,16.6000
107,1,4,37,1,67.9000,67.9000,51.9000,80.5000
108,39,4,37,1,83.3000,83.3000,65.1000,93.1000
109,34,4,37,1,86.1000,86.1000,79.3000,91.0000
110,20,4,37,1,81.5000,81.5000,62.2000,92.2000
111,50,4,37,1,79.7000,79.7000,70.3000,86.7000
112,27,4,101,1,33.3000,33.3000,19.1000,51.3000
113,13,4,37,1,85.3000,85.3000,68.0000,94.1000
114,30,4,101,1,21.7000,21.7000,11.4000,37.2000
115,13,4,101,1,41.5000,41.5000,26.2000,58.6000
116,28,4,37,1,84.6000,84.6000,72.0000,92.2000
117,49,4,101,1,51.5000,51.5000,30.4000,72.1000
118,11,4,101,1,21.3000,21.3000,12.8000,33.4000
119,18,4,37,1,95.6000,95.6000,88.1000,98.4000
120,46,4,37,1,65.0000,65.0000,42.5000,82.3000
121,40,4,132,1,13.5000,13.5000,7.1000,24.2000
122,45,4,52,1,37.8000,37.8000,20.1000,59.6000
123,34,4,101,1,50.2000,50.2000,43.0000,57.5000
124,31,4,101,1,35.5000,35.5000,17.0000,59.7000
125,25,4,37,5,60.1000,60.1000,43.3000,74.7000
126,54,4,37,5,72.3000,72.3000,52.1000,86.3000
127,28,4,101,5,45.5000,45.5000,30.3000,61.6000
128,2,4,37,5,86.2000,86.2000,71.0000,94.1000
129,50,4,37,5,85.4000,85.4000,66.9000,94.4000
130,46,4,52,5,34.2000,34.2000,24.6000,45.3000
131,39,4,37,5,86.1000,86.1000,73.4000,93.3000
132,55,4,37,5,91.7000,91.7000,79.9000,96.8000
133,10,4,52,5,20.7000,20.7000,10.2000,37.6000
134,25,4,132,5,40.0000,40.0000,20.4000,63.5000
135,50,4,101,5,65.6000,65.6000,46.3000,80.8000
136,48,4,37,5,90.3000,90.3000,78.6000,95.9000
137,32,4,52,5,30.7000,30.7000,20.2000,43.6000
138,22,4,37,5,84.3000,84.3000,67.7000,93.2000
139,31,4,101,5,61.1000,61.1000,44.0000,75.8000
140,29,4,37,5,89.4000,89.4000,77.7000,95.4000
141,2,4,101,5,67.8000,67.8000,51.8000,80.5000
142,4,4,52,5,34.5000,34.5000,24.5000,46.2000
143,10,4,37,5,77.7000,77.7000,61.7000,88.3000
144,36,4,101,5,42.7000,42.7000,29.7000,56.9000
145,52,4,101,5,34.5000,34.5000,20.1000,52.5000
146,44,4,101,5,35.8000,35.8000,19.8000,55.8000
147,14,4,37,5,84.3000,84.3000,70.5000,92.3000
148,43,4,37,5,80.6000,80.6000,64.8000,90.4000
149,13,4,37,5,80.7000,80.7000,65.4000,90.2000
150,40,4,52,5,16.4000,16.4000,9.3000,27.3000
151,25,4,52,5,22.7000,22.7000,11.0000,41.1000
152,3,4,101,5,68.0000,68.0000,50.2000,81.8000
153,27,4,37,5,82.7000,82.7000,69.5000,91.0000
154,17,4,101,5,60.9000,60.9000,44.6000,75.1000
155,18,4,37,5,81.2000,81.2000,65.6000,90.7000
156,23,4,37,5,82.2000,82.2000,61.8000,92.9000
157,12,4,52,5,33.3000,33.3000,30.3000,36.5000
158,16,4,101,5,45.2000,45.2000,30.4000,61.0000
159,34,4,101,5,56.3000,56.3000,48.5000,63.8000
160,29,4,52,5,22.8000,22.8000,12.4000,38.2000
161,12,4,37,5,83.0000,83.0000,80.4000,85.3000
162,24,4,101,5,66.5000,66.5000,49.0000,80.5000
163,4,4,101,5,47.3000,47.3000,37.6000,57.3000
164,41,4,101,5,53.5000,53.5000,38.4000,67.9000
165,5,4,101,5,49.1000,49.1000,32.9000,65.6000
